rounds,key,blocks,base_vars,base_clauses,base_literals,rk_vars,rk_clauses,rk_literals,delta_vars,delta_clauses,delta_literals
10,1,1,2560,7456,17312,3040,9472,23168,480,2016,5856
10,1,2,4192,12320,28576,4672,14336,34432,480,2016,5856
10,1,4,7456,22048,51104,7936,24064,56960,480,2016,5856
10,1,8,13984,41504,96160,14464,43520,102016,480,2016,5856
10,2,1,2560,7456,17312,3040,9472,23168,480,2016,5856
10,2,2,4192,12320,28576,4672,14336,34432,480,2016,5856
10,2,4,7456,22048,51104,7936,24064,56960,480,2016,5856
10,2,8,13984,41504,96160,14464,43520,102016,480,2016,5856
10,3,1,2560,7456,17312,3040,9472,23168,480,2016,5856
10,3,2,4192,12320,28576,4672,14336,34432,480,2016,5856
10,3,4,7456,22048,51104,7936,24064,56960,480,2016,5856
10,3,8,13984,41504,96160,14464,43520,102016,480,2016,5856
10,4,1,2560,7456,17312,3040,9472,23168,480,2016,5856
10,4,2,4192,12320,28576,4672,14336,34432,480,2016,5856
10,4,4,7456,22048,51104,7936,24064,56960,480,2016,5856
10,4,8,13984,41504,96160,14464,43520,102016,480,2016,5856
10,5,1,2560,7456,17312,3040,9472,23168,480,2016,5856
10,5,2,4192,12320,28576,4672,14336,34432,480,2016,5856
10,5,4,7456,22048,51104,7936,24064,56960,480,2016,5856
10,5,8,13984,41504,96160,14464,43520,102016,480,2016,5856
11,1,1,2864,8368,19440,3424,10720,26272,560,2352,6832
11,1,2,4656,13712,31824,5216,16064,38656,560,2352,6832
11,1,4,8240,24400,56592,8800,26752,63424,560,2352,6832
11,1,8,15408,45776,106128,15968,48128,112960,560,2352,6832
11,2,1,2864,8368,19440,3424,10720,26272,560,2352,6832
11,2,2,4656,13712,31824,5216,16064,38656,560,2352,6832
11,2,4,8240,24400,56592,8800,26752,63424,560,2352,6832
11,2,8,15408,45776,106128,15968,48128,112960,560,2352,6832
11,3,1,2864,8368,19440,3424,10720,26272,560,2352,6832
11,3,2,4656,13712,31824,5216,16064,38656,560,2352,6832
11,3,4,8240,24400,56592,8800,26752,63424,560,2352,6832
11,3,8,15408,45776,106128,15968,48128,112960,560,2352,6832
11,4,1,2864,8368,19440,3424,10720,26272,560,2352,6832
11,4,2,4656,13712,31824,5216,16064,38656,560,2352,6832
11,4,4,8240,24400,56592,8800,26752,63424,560,2352,6832
11,4,8,15408,45776,106128,15968,48128,112960,560,2352,6832
11,5,1,2864,8368,19440,3424,10720,26272,560,2352,6832
11,5,2,4656,13712,31824,5216,16064,38656,560,2352,6832
11,5,4,8240,24400,56592,8800,26752,63424,560,2352,6832
11,5,8,15408,45776,106128,15968,48128,112960,560,2352,6832
12,1,1,3168,9280,21568,3808,11968,29376,640,2688,7808
12,1,2,5120,15104,35072,5760,17792,42880,640,2688,7808
12,1,4,9024,26752,62080,9664,29440,69888,640,2688,7808
12,1,8,16832,50048,116096,17472,52736,123904,640,2688,7808
12,2,1,3168,9280,21568,3808,11968,29376,640,2688,7808
12,2,2,5120,15104,35072,5760,17792,42880,640,2688,7808
12,2,4,9024,26752,62080,9664,29440,69888,640,2688,7808
12,2,8,16832,50048,116096,17472,52736,123904,640,2688,7808
12,3,1,3168,9280,21568,3808,11968,29376,640,2688,7808
12,3,2,5120,15104,35072,5760,17792,42880,640,2688,7808
12,3,4,9024,26752,62080,9664,29440,69888,640,2688,7808
12,3,8,16832,50048,116096,17472,52736,123904,640,2688,7808
12,4,1,3168,9280,21568,3808,11968,29376,640,2688,7808
12,4,2,5120,15104,35072,5760,17792,42880,640,2688,7808
12,4,4,9024,26752,62080,9664,29440,69888,640,2688,7808
12,4,8,16832,50048,116096,17472,52736,123904,640,2688,7808
12,5,1,3168,9280,21568,3808,11968,29376,640,2688,7808
12,5,2,5120,15104,35072,5760,17792,42880,640,2688,7808
12,5,4,9024,26752,62080,9664,29440,69888,640,2688,7808
12,5,8,16832,50048,116096,17472,52736,123904,640,2688,7808
13,1,1,3472,10192,23696,4192,13216,32480,720,3024,8784
13,1,2,5584,16496,38320,6304,19520,47104,720,3024,8784
13,1,4,9808,29104,67568,10528,32128,76352,720,3024,8784
13,1,8,18256,54320,126064,18976,57344,134848,720,3024,8784
13,2,1,3472,10192,23696,4192,13216,32480,720,3024,8784
13,2,2,5584,16496,38320,6304,19520,47104,720,3024,8784
13,2,4,9808,29104,67568,10528,32128,76352,720,3024,8784
13,2,8,18256,54320,126064,18976,57344,134848,720,3024,8784
13,3,1,3472,10192,23696,4192,13216,32480,720,3024,8784
13,3,2,5584,16496,38320,6304,19520,47104,720,3024,8784
13,3,4,9808,29104,67568,10528,32128,76352,720,3024,8784
13,3,8,18256,54320,126064,18976,57344,134848,720,3024,8784
13,4,1,3472,10192,23696,4192,13216,32480,720,3024,8784
13,4,2,5584,16496,38320,6304,19520,47104,720,3024,8784
13,4,4,9808,29104,67568,10528,32128,76352,720,3024,8784
13,4,8,18256,54320,126064,18976,57344,134848,720,3024,8784
13,5,1,3472,10192,23696,4192,13216,32480,720,3024,8784
13,5,2,5584,16496,38320,6304,19520,47104,720,3024,8784
13,5,4,9808,29104,67568,10528,32128,76352,720,3024,8784
13,5,8,18256,54320,126064,18976,57344,134848,720,3024,8784
14,1,1,3776,11104,25824,4576,14464,35584,800,3360,9760
14,1,2,6048,17888,41568,6848,21248,51328,800,3360,9760
14,1,4,10592,31456,73056,11392,34816,82816,800,3360,9760
14,1,8,19680,58592,136032,20480,61952,145792,800,3360,9760
14,2,1,3776,11104,25824,4576,14464,35584,800,3360,9760
14,2,2,6048,17888,41568,6848,21248,51328,800,3360,9760
14,2,4,10592,31456,73056,11392,34816,82816,800,3360,9760
14,2,8,19680,58592,136032,20480,61952,145792,800,3360,9760
14,3,1,3776,11104,25824,4576,14464,35584,800,3360,9760
14,3,2,6048,17888,41568,6848,21248,51328,800,3360,9760
14,3,4,10592,31456,73056,11392,34816,82816,800,3360,9760
14,3,8,19680,58592,136032,20480,61952,145792,800,3360,9760
14,4,1,3776,11104,25824,4576,14464,35584,800,3360,9760
14,4,2,6048,17888,41568,6848,21248,51328,800,3360,9760
14,4,4,10592,31456,73056,11392,34816,82816,800,3360,9760
